rch_site,scenario,dx,dy,Transient,Stationary
3,31,25.0,-25.0,1680820.7702636719,3826626.5869140625
3,32,25.0,-25.0,819495.3155517578,1864798.4313964844
3,33,25.0,-25.0,1895680.2368164062,3525865.478515625
3,34,25.0,-25.0,1374467.0104980469,2384189.7583007812
3,35,25.0,-25.0,1643643.1884765625,2545264.434814453
3,36,25.0,-25.0,281852.91290283203,531337.0895385742
3,37,25.0,-25.0,1187007.827758789,2481310.272216797
3,38,25.0,-25.0,668702.5451660156,1425997.6196289062
3,39,25.0,-25.0,1005914.2303466797,2429205.1696777344
3,3,25.0,-25.0,126907.32955932617,176551.57089233398
3,40,25.0,-25.0,441848.7548828125,1466938.7817382812
3,41,25.0,-25.0,2378789.520263672,6259215.6982421875
3,42,25.0,-25.0,1810254.6691894531,4816182.861328125
3,43,25.0,-25.0,22419.133186340332,173498.78311157227
3,44,25.0,-25.0,698583.0688476562,2020245.2087402344
3,45,25.0,-25.0,1958499.4506835938,4036013.18359375
3,46,25.0,-25.0,903368.2250976562,1859794.7692871094
3,47,25.0,-25.0,827040.7867431641,1686121.9787597656
3,48,25.0,-25.0,605730.1712036133,1291526.1840820312
3,49,25.0,-25.0,1800522.3083496094,3417321.77734375
3,4,25.0,-25.0,559824.6002197266,895997.2381591797
3,50,25.0,-25.0,1176046.2188720703,2347805.0231933594
3,51,25.0,-25.0,322643.73779296875,916603.2409667969
3,52,25.0,-25.0,23179.01849746704,87758.03565979004
3,53,25.0,-25.0,3847738.6474609375,8497772.827148438
3,54,25.0,-25.0,716425.3234863281,2267814.6362304688
3,55,25.0,-25.0,162586.49826049805,686689.6057128906
3,56,25.0,-25.0,1551648.7121582031,3984445.80078125
3,57,25.0,-25.0,107368.5073852539,373553.0090332031
3,58,25.0,-25.0,953060.9130859375,2372022.705078125
3,59,25.0,-25.0,1648879.2419433594,3216447.1435546875
3,5,25.0,-25.0,1270354.995727539,2428767.7001953125
3,60,25.0,-25.0,1085606.2316894531,2260061.03515625
3,61,25.0,-25.0,475693.8171386719,875353.1646728516
3,62,25.0,-25.0,934731.5979003906,1745371.3989257812
3,63,25.0,-25.0,475235.29052734375,1332042.3889160156
3,64,25.0,-25.0,2067200.7751464844,4898568.7255859375
3,65,25.0,-25.0,3022795.1049804688,7133395.3857421875
3,66,25.0,-25.0,1115539.0167236328,3211432.1899414062
3,67,25.0,-25.0,1272344.970703125,3364232.4829101562
3,68,25.0,-25.0,447404.28924560547,1470610.6567382812
3,69,25.0,-25.0,2011373.4436035156,4360648.8037109375
3,6,25.0,-25.0,1679600.9826660156,3113197.021484375
3,70,25.0,-25.0,1223495.2545166016,2998816.5283203125
3,71,25.0,-25.0,170348.8540649414,511320.3430175781
3,72,25.0,-25.0,1683876.953125,3117321.4721679688
3,73,25.0,-25.0,815298.6907958984,1445098.5717773438
3,74,25.0,-25.0,1955401.3061523438,4044474.4873046875
3,75,25.0,-25.0,996228.4088134766,2626492.3095703125
3,76,25.0,-25.0,2295285.186767578,5489345.0927734375
3,77,25.0,-25.0,6030776.9775390625,12647021.484375
3,78,25.0,-25.0,5561497.802734375,10177109.985351562
3,79,25.0,-25.0,4210211.486816406,7878055.419921875
3,7,25.0,-25.0,1425767.822265625,2768840.0268554688
3,80,25.0,-25.0,1765406.0363769531,4278547.36328125
3,81,25.0,-25.0,3611236.572265625,7090347.900390625
3,82,25.0,-25.0,1206412.2772216797,2867334.2895507812
3,83,25.0,-25.0,793579.1015625,1941235.0463867188
3,84,25.0,-25.0,1514970.5505371094,2832281.494140625
3,85,25.0,-25.0,1344554.1381835938,2988967.28515625
3,86,25.0,-25.0,146902.87590026855,404856.26220703125
3,87,25.0,-25.0,301286.0298156738,770472.7935791016
3,88,25.0,-25.0,1697685.8520507812,4210871.58203125
3,89,25.0,-25.0,5136741.943359375,11414396.97265625
3,8,25.0,-25.0,677493.1335449219,1430216.9799804688
3,90,25.0,-25.0,2494970.3979492188,5553171.38671875
3,91,25.0,-25.0,1503525.8483886719,3322321.77734375
3,92,25.0,-25.0,1670637.8173828125,4080055.2368164062
3,93,25.0,-25.0,1440893.5546875,3109242.5537109375
3,94,25.0,-25.0,267406.04400634766,616957.2067260742
3,95,25.0,-25.0,315565.4525756836,817032.7758789062
3,96,25.0,-25.0,334682.7697753906,826586.6088867188
3,97,25.0,-25.0,1204922.1801757812,3063121.0327148438
3,98,25.0,-25.0,2668705.4443359375,6837349.2431640625
3,99,25.0,-25.0,1073966.9799804688,2811494.4458007812
3,9,25.0,-25.0,80389.10865783691,174987.08724975586
5,100,25.0,-25.0,648902.2827148438,1061726.4556884766
5,101,25.0,-25.0,193698.50158691406,335623.89373779297
5,102,25.0,-25.0,674244.6136474609,1117911.9873046875
5,103,25.0,-25.0,787291.3360595703,1128675.308227539
5,104,25.0,-25.0,575590.5151367188,813979.7210693359
5,105,25.0,-25.0,903936.5386962891,1699187.7746582031
5,106,25.0,-25.0,2499342.9565429688,4147812.5
5,107,25.0,-25.0,797244.4152832031,1530818.6340332031
5,108,25.0,-25.0,875853.4240722656,1301444.7021484375
5,109,25.0,-25.0,1292494.2016601562,2081879.1198730469
5,10,25.0,-25.0,1289226.5319824219,2495628.5095214844
5,110,25.0,-25.0,1124313.1256103516,1851436.767578125
5,111,25.0,-25.0,790524.6734619141,1441648.8647460938
5,112,25.0,-25.0,567479.1717529297,1079213.1805419922
5,113,25.0,-25.0,1090248.7182617188,2005215.9118652344
5,114,25.0,-25.0,1835639.3432617188,2946462.0971679688
5,115,25.0,-25.0,1203190.4602050781,1898600.6164550781
5,116,25.0,-25.0,1123313.2934570312,1664347.3815917969
5,117,25.0,-25.0,123326.20620727539,264290.6188964844
5,118,25.0,-25.0,4356863.4033203125,6349171.142578125
5,119,25.0,-25.0,1975813.4460449219,3430223.6938476562
5,11,25.0,-25.0,875309.8297119141,1110524.673461914
5,120,25.0,-25.0,424587.3260498047,529692.1157836914
5,12,25.0,-25.0,983496.7803955078,1368739.1662597656
5,13,25.0,-25.0,505148.88763427734,931923.7518310547
5,14,25.0,-25.0,877875.9002685547,1565036.4685058594
5,15,25.0,-25.0,1234141.4642333984,2020316.7724609375
5,16,25.0,-25.0,952759.3994140625,1884586.181640625
5,17,25.0,-25.0,937549.2858886719,1563923.7976074219
5,18,25.0,-25.0,540979.1564941406,843505.1727294922
5,19,25.0,-25.0,799063.4155273438,1225156.6314697266
5,1,25.0,-25.0,1172650.375366211,1840734.5581054688
5,20,25.0,-25.0,162731.13250732422,327562.56103515625
5,21,25.0,-25.0,2416966.552734375,4734091.491699219
5,22,25.0,-25.0,135085.1058959961,388987.8845214844
5,23,25.0,-25.0,383348.388671875,615355.9494018555
5,24,25.0,-25.0,314159.5268249512,376490.7455444336
5,25,25.0,-25.0,32842.020988464355,76273.62251281738
5,26,25.0,-25.0,190651.5121459961,553212.1658325195
5,27,25.0,-25.0,647122.1160888672,1532322.6928710938
5,28,25.0,-25.0,425064.6209716797,1036107.3303222656
5,29,25.0,-25.0,91484.66110229492,219010.7536315918
5,2,25.0,-25.0,1059185.4858398438,1505951.6906738281
5,30,25.0,-25.0,75888.25702667236,85198.2307434082
5,31,25.0,-25.0,669245.7580566406,909947.2808837891
5,32,25.0,-25.0,1407789.1540527344,2571559.4482421875
5,33,25.0,-25.0,4898668.212890625,9155935.05859375
5,34,25.0,-25.0,680299.1485595703,1558799.5910644531
5,35,25.0,-25.0,567680.8166503906,1384022.5219726562
5,36,25.0,-25.0,192864.97116088867,422890.8157348633
5,37,25.0,-25.0,147932.88230895996,389306.7169189453
5,38,25.0,-25.0,1868457.03125,3762801.2084960938
5,39,25.0,-25.0,1037202.8350830078,2516101.531982422
5,3,25.0,-25.0,660910.1867675781,902457.7331542969
5,40,25.0,-25.0,692452.8503417969,1501251.8310546875
5,41,25.0,-25.0,1313691.40625,1835302.734375
5,42,25.0,-25.0,1043012.6953125,1294465.1794433594
5,43,25.0,-25.0,695359.8785400391,913973.0072021484
5,44,25.0,-25.0,1309457.7026367188,2356284.4848632812
5,45,25.0,-25.0,1554807.8918457031,4261182.556152344
