time,rch_site,scenario,dx,dy,total,total_water,maximum,area
2011-10-01,3,50,25,-25,457250.289916992,54753.4418106079,0.451128,4561250
2011-10-01,3,51,25,-25,90586.6432189941,9912.45687007904,0.18364048,2030000
2011-10-01,3,52,25,-25,3901.29148960114,703.867301344872,0.06459236,176250
2011-10-01,3,53,25,-25,656324.310302734,119988.145828247,0.50818443,5959375
2011-10-01,3,54,25,-25,66229.100227356,12343.133687973,0.11826992,1860000
2011-10-01,3,55,25,-25,21194.9610710144,3602.4221777916,0.081936836,886250
2011-10-01,3,56,25,-25,285566.97845459,45406.289100647,0.19780922,5105625
2011-10-01,3,57,25,-25,13610.1222038269,2289.35554623604,0.069288254,646875
2011-10-01,3,58,25,-25,141285.247802734,23335.6809616089,0.2096138,2946250
2011-10-01,3,59,25,-25,347942.047119141,55853.5814285278,0.34454346,4574375
2011-10-01,3,5,25,-25,479542.999267578,69847.4502563477,0.4817238,3936875
2011-10-01,3,60,25,-25,208888.854980469,33134.0479850769,0.33389282,3274375
2011-10-01,3,61,25,-25,232829.627990723,24906.3324928284,0.38579845,3111875
2011-10-01,3,62,25,-25,469282.684326172,45006.0796737671,0.46587276,5061875
2011-10-01,3,63,25,-25,132122.259140015,14370.1875209808,0.1599493,3040625
2011-10-01,3,64,25,-25,306464.614868164,47636.9857788086,0.33398056,4261875
2011-10-01,3,65,25,-25,274789.352416992,53640.3179168701,0.25589752,4056875
2011-10-01,3,66,25,-25,108835.010528564,19465.3534889221,0.1357708,2576875
2011-10-01,3,67,25,-25,265732.021331787,39400.4440307617,0.34008598,4201250
2011-10-01,3,68,25,-25,65698.0037689209,10260.0419521332,0.15486908,1926875
2011-10-01,3,69,25,-25,348460.502624512,57974.591255188,0.40089226,4688125
2011-10-01,3,6,25,-25,685883.331298828,109344.511032105,0.6445999,4648750
2011-10-01,3,70,25,-25,129296.779632568,25063.9462471008,0.20153236,2675625
2011-10-01,3,71,25,-25,21417.9468154907,3667.32925176621,0.06971741,831250
2011-10-01,3,72,25,-25,428479.766845703,66021.5950012207,0.3954811,4844375
2011-10-01,3,73,25,-25,405335.922241211,37768.8050270081,0.44698524,4220625
2011-10-01,3,74,25,-25,1030760.8795166,103859.567642212,0.733984,7329375
2011-10-01,3,75,25,-25,152833.299636841,21381.1159133911,0.30538177,2785000
2011-10-01,3,76,25,-25,176550.846099854,32830.9750556946,0.24909306,3235000
2011-10-01,3,77,25,-25,421859.512329102,89041.805267334,0.40488338,5010000
2011-10-01,3,78,25,-25,754689.712524414,142553.520202637,0.5172491,7057500
2011-10-01,3,79,25,-25,698960.494995117,124525.718688965,0.47902775,7011250
2011-10-01,3,7,25,-25,407732.086181641,61145.2293395996,0.36558533,4074375
2011-10-01,3,80,25,-25,215257.682800293,38578.5245895386,0.23976898,3706250
2011-10-01,3,81,25,-25,514588.737487793,94683.8474273682,0.36656952,5857500
2011-10-01,3,82,25,-25,160762.748718262,26945.8174705505,0.14121628,3288125
2011-10-01,3,83,25,-25,142905.693054199,22422.8262901306,0.15411949,2986875
2011-10-01,3,84,25,-25,438002.395629883,66356.8449020386,0.49846268,4745625
2011-10-01,3,85,25,-25,557484.62677002,60734.6153259277,0.5684786,5563125
2011-10-01,3,86,25,-25,22085.4091644287,3208.51802825928,0.08299923,860625
2011-10-01,3,87,25,-25,17353.0912399292,3611.88858747482,0.05742073,725625
2011-10-01,3,88,25,-25,91469.9554443359,19409.4836711884,0.10342598,2450625
2011-10-01,3,89,25,-25,325931.434631348,67679.4862747192,0.292161,4785000
2011-10-01,3,8,25,-25,150986.480712891,21994.1353797913,0.19856453,2593125
2011-10-01,3,90,25,-25,279979.133605957,44919.0235137939,0.30470753,4396875
2011-10-01,3,91,25,-25,218509.23538208,36337.4304771423,0.24203968,3756250
2011-10-01,3,92,25,-25,137899.799346924,27908.5397720337,0.21022606,2670000
2011-10-01,3,93,25,-25,212527.275085449,34232.063293457,0.31375504,3381250
2011-10-01,3,94,25,-25,54422.4548339844,7997.01988697052,0.52589226,1286875
2011-10-01,3,95,25,-25,58647.2988128662,8549.01731014252,0.3081684,1266875
2011-10-01,3,96,25,-25,72112.1120452881,9480.04603385925,0.4619503,1416875
2011-10-01,3,97,25,-25,259852.695465088,32439.6848678589,0.3558464,4291875
2011-10-01,3,98,25,-25,533482.513427734,77358.8609695435,0.5790386,5657500
2011-10-01,3,99,25,-25,72480.525970459,13963.0770683289,0.2085762,1724375
2011-10-01,3,9,25,-25,14693.5868263245,2251.59585475922,0.05887413,647500
2011-10-01,5,100,25,-25,320065.34576416,40026.8602371216,0.4427299,3472500
2011-10-01,5,101,25,-25,100695.419311523,10680.5682182312,0.20571327,1935625
2011-10-01,5,102,25,-25,304715.480804443,37071.2113380432,0.3302517,3898125
2011-10-01,5,103,25,-25,407936.096191406,49576.5256881714,0.5900364,3581250
2011-10-01,5,104,25,-25,280256.576538086,25757.4009895325,0.4158516,2505625
2011-10-01,5,105,25,-25,144851.341247559,21760.6830596924,0.39964676,1583125
2011-10-01,5,106,25,-25,486719.32220459,78357.2340011597,1.2129726,1411250
2011-10-01,5,107,25,-25,282145.06149292,42957.6683044434,1.0687523,835000
2011-10-01,5,108,25,-25,332667.465209961,54478.1160354614,0.48911667,1373750
2011-10-01,5,109,25,-25,543710.250854492,70042.4718856812,0.5240364,5189375
2011-10-01,5,10,25,-25,559396.057128906,88821.8688964844,0.90013313,1900000
2011-10-01,5,110,25,-25,462744.674682617,60153.226852417,0.6781597,4329375
2011-10-01,5,111,25,-25,244303.512573242,31647.9253768921,0.4580574,2957500
2011-10-01,5,112,25,-25,168259.391784668,23825.089931488,0.39764404,2198125
2011-10-01,5,113,25,-25,426278.038024902,65847.3539352417,0.5558796,3425000
2011-10-01,5,114,25,-25,862296.447753906,140686.511993408,0.761816,5324375
2011-10-01,5,115,25,-25,436293.296813965,66337.308883667,0.38763237,3833125
2011-10-01,5,116,25,-25,717440.643310547,102008.647918701,0.9044132,3295000
2011-10-01,5,117,25,-25,17410.9411239624,2617.07872152329,0.3499565,276875
2011-10-01,5,118,25,-25,357530.326843262,60039.5154953003,0.71874046,1451250
2011-10-01,5,119,25,-25,551705.360412598,69942.364692688,1.2485428,1230000
2011-10-01,5,11,25,-25,340375.40435791,50765.8195495606,0.7103405,1494375
2011-10-01,5,120,25,-25,274541.149139404,39530.3416252136,1.0287552,708750
2011-10-01,5,12,25,-25,514732.58972168,75872.4498748779,1.0036182,1356250
2011-10-01,5,13,25,-25,145753.746032715,19592.387676239,0.40156746,2148125
2011-10-01,5,14,25,-25,344588.394165039,38272.6836204529,0.35321236,3877500
2011-10-01,5,15,25,-25,526258.544921875,64439.2919540405,0.61263275,3983750
2011-10-01,5,16,25,-25,224644.641876221,30687.3440742493,0.2444992,2960625
2011-10-01,5,17,25,-25,319083.251953125,44767.2128677368,0.5249386,3231875
2011-10-01,5,18,25,-25,200468.521118164,18542.0823097229,0.22018623,2856250
2011-10-01,5,19,25,-25,237942.46673584,29558.3653450012,0.33176994,2463125
2011-10-01,5,1,25,-25,399424.934387207,68494.5917129517,0.87324524,2360000
2011-10-01,5,20,25,-25,23959.5746994019,3717.30357408524,0.23156738,340625
2011-10-01,5,21,25,-25,369500.198364258,59687.6573562622,0.58202744,1460625
2011-10-01,5,22,25,-25,6903.07974815369,1310.30946969986,0.34589958,96250
2011-10-01,5,23,25,-25,120314.931869507,13236.4237308502,0.4721775,1092500
2011-10-01,5,24,25,-25,181407.356262207,16523.095369339,0.5018501,1297500
2011-10-01,5,25,25,-25,8020.80750465393,1040.59271514416,0.04839897,391250
2011-10-01,5,26,25,-25,53716.6118621826,6470.4042673111,0.20687103,1396250
2011-10-01,5,27,25,-25,98597.7268218994,15716.0079479218,0.16106796,1938750
2011-10-01,5,28,25,-25,58414.5069122315,10227.0829677582,0.19776154,1211875
2011-10-01,5,29,25,-25,29294.9366569519,2684.55654382706,0.1274414,819375
2011-10-01,5,2,25,-25,508995.552062988,64727.5018692017,0.5548935,3161875
2011-10-01,5,30,25,-25,24266.9773101807,2447.59127497673,0.12840652,698125
2011-10-01,5,31,25,-25,214024.829864502,26084.0606689453,0.36119843,2408750
2011-10-01,5,32,25,-25,235419.425964356,37738.950252533,0.3500595,2100625
2011-10-01,5,33,25,-25,338249.778747559,69223.9856719971,0.51776695,1691250
2011-10-01,5,34,25,-25,212470.703125,26079.7667503357,0.9452057,671250
2011-10-01,5,35,25,-25,210037.231445313,24854.2499542236,0.8302078,633125
2011-10-01,5,36,25,-25,43551.0301589966,5221.97544574738,0.274477,469375
2011-10-01,5,37,25,-25,32458.1527709961,4053.4108877182,0.14078903,1048125
2011-10-01,5,38,25,-25,803982.620239258,118556.40411377,0.71860313,5693750
2011-10-01,5,39,25,-25,134412.841796875,25212.1925354004,0.2974491,2081875
2011-10-01,5,3,25,-25,293010.292053223,28374.7124671936,0.32054138,2713125
2011-10-01,5,40,25,-25,190908.145904541,28203.8235664368,0.44073486,2118125
2011-10-01,5,41,25,-25,457120.704650879,61723.1369018555,0.50582504,3225625
2011-10-01,5,42,25,-25,426696.77734375,56188.4784698486,0.64715385,2544375
2011-10-01,5,43,25,-25,253384.647369385,33776.5622138977,0.46110153,2140625
2011-10-01,5,44,25,-25,483153.533935547,59655.4660797119,0.65727043,2621875
2011-10-01,5,45,25,-25,91612.6918792725,18431.4525127411,0.24944878,766250
2011-10-01,5,46,25,-25,813881.759643555,128961.420059204,1.4600525,1475000
2011-10-01,5,47,25,-25,894080.73425293,91145.9064483643,1.7780113,1622500
2011-10-01,5,48,25,-25,46815.0854110718,6383.40711593628,0.7976494,280625
2011-10-01,5,49,25,-25,197407.608032227,33842.0391082764,0.22401619,3264375
2011-10-01,5,4,25,-25,61271.1763381958,6859.46762561798,0.2455368,1155625
2011-10-01,5,50,25,-25,212777.557373047,31557.0044517517,0.3571682,2943750
2011-10-01,5,51,25,-25,117510.833740234,16315.8285617828,0.3605137,1918125
2011-10-01,5,52,25,-25,62140.007019043,10287.1084213257,0.19531631,1268750
2011-10-01,5,53,25,-25,174717.311859131,32318.7875747681,0.27725792,2122500
2011-10-01,5,54,25,-25,548881.416320801,100028.553009033,0.6167469,3168125
2011-10-01,5,55,25,-25,52051.4392852783,6403.6363363266,0.20718384,860625
2011-10-01,5,56,25,-25,32663.4359359741,2861.17076873779,0.433321,396875
2011-10-01,5,57,25,-25,493320.579528809,81540.0123596191,0.9222393,1350000
2011-10-01,5,58,25,-25,364608.993530273,63863.5158538818,0.71443367,1108750
2011-10-01,5,59,25,-25,128388.786315918,16436.1381530762,0.5969391,689375
2011-10-01,5,5,25,-25,169837.72277832,18927.0532131195,0.30542564,1955000
2011-10-01,5,60,25,-25,433604.202270508,69365.7064437866,1.2993565,1141875
2011-10-01,5,61,25,-25,647958.602905274,100906.715393066,0.5737114,5505625
2011-10-01,5,62,25,-25,875203.323364258,126261.940002441,0.7755871,5713125
2011-10-01,5,63,25,-25,163822.288513184,22366.1708831787,0.33260536,2359375
2011-10-01,5,64,25,-25,27957.3369026184,3818.8561797142,0.1642971,794375
2011-10-01,5,65,25,-25,616703.567504883,91930.3417205811,0.57125473,4478125
2011-10-01,5,66,25,-25,504141.235351563,86368.3986663818,0.7353592,3376875
2011-10-01,5,67,25,-25,37063.7011528015,7655.41076660156,0.12538719,810000
