y,y_hat0500,y_hat0250,y_hat1000,ABS_err0500,ABS_err0250,ABS_err1000,Pc_err0500,Pc_err0250,Pc_err1000
-2.195913114,-2.055871964,-1.868305326,-2.089340687,0.140041151,0.327607789,0.106572428,6.377353915,14.91897775,4.853216959
-1.520266548,-1.501752496,-1.520466447,-1.421559572,0.018514052,0.000199899,0.098706976,1.217816199,0.013148932,6.492741418
-1.446159884,-1.460877419,-1.522764564,-1.458399057,0.014717535,0.07660468,0.012239174,1.01769762,5.297109996,0.8463223
-1.444731275,-1.51903975,-1.454192162,-1.498272061,0.074308475,0.009460886,0.053540786,5.143411516,0.654854395,3.705933896
-2.131483187,-1.992322564,-1.920729518,-2.042005062,0.139160623,0.210753669,0.089478125,6.528816353,9.887653365,4.197927783
-1.821267752,-1.782126188,-1.753177524,-1.701765776,0.039141564,0.068090229,0.119501977,2.149138373,3.738617165,6.561472171
-2.015573045,-1.822464824,-1.666402817,-1.959642768,0.193108221,0.349170228,0.055930277,9.580809862,17.32362064,2.774906968
-1.383673517,-1.446999311,-1.412447929,-1.519738674,0.063325794,0.028774412,0.136065157,4.576642776,2.079566577,9.833617185
-2.001762004,-1.678457022,-1.673448563,-1.753770947,0.323304982,0.328313441,0.247991056,16.15102002,16.40122255,12.3886384
-1.767728937,-1.71473527,-1.569356084,-1.769720674,0.052993668,0.198372853,0.001991736,2.997839012,11.22190451,0.112672043
-1.364560322,-1.148113012,-1.242251992,-1.290669322,0.21644731,0.12230833,0.073891,15.86205507,8.963204327,5.415004294
-1.663270202,-1.663453817,-1.697956204,-1.634157777,0.000183615,0.034686002,0.029112425,0.011039417,2.085409955,1.750312437
-1.949246058,-1.702634692,-1.700286627,-1.748552203,0.246611366,0.248959431,0.200693855,12.65162831,12.77208849,10.29597337
-1.982993953,-1.900031447,-1.862990618,-1.791796923,0.082962506,0.120003336,0.191197031,4.183699396,6.051623884,9.641836297
-1.598204643,-1.644812226,-1.549340129,-1.688022494,0.046607583,0.048864514,0.089817851,2.916246273,3.057462902,5.619921814
-1.696060428,-1.723680973,-1.796193957,-1.702487946,0.027620545,0.10013353,0.006427518,1.628511868,5.903889271,0.378967503
-1.576095656,-1.479920149,-1.502630591,-1.596768498,0.096175507,0.073465065,0.020672842,6.102136436,4.661205966,1.311648959
-1.397829632,-1.332806468,-1.369212627,-1.450450659,0.065023164,0.028617005,0.052621027,4.651723107,2.047245525,3.764480706
-1.673563568,-1.633474946,-1.79618609,-1.664666176,0.040088622,0.122622521,0.008897393,2.395404821,7.327030977,0.531643539
-1.605147305,-1.54179132,-1.5043118,-1.540129423,0.063355985,0.100835505,0.065017882,3.947051164,6.28200944,4.050586628
-1.138500199,-1.169461846,-1.215000033,-1.246629238,0.030961647,0.076499834,0.108129039,2.719511793,6.719351851,9.497498467
-1.82509881,-1.773172855,-1.810429454,-1.672043562,0.051925955,0.014669356,0.153055248,2.845103762,0.803756836,8.386134904
-1.989264613,-2.010010958,-1.971724033,-2.027632713,0.020746344,0.01754058,0.0383681,1.042915261,0.881762035,1.928757973
-1.719145984,-1.83778131,-1.785880923,-1.835183024,0.118635326,0.06673494,0.116037041,6.900829107,3.881865779,6.749690943
-1.922347662,-1.826017976,-1.910477042,-1.68855083,0.096329687,0.01187062,0.233796832,5.011043965,0.617506414,12.16204732
-1.684637008,-1.621617913,-1.748962164,-1.471958041,0.063019095,0.064325156,0.212678967,3.740811489,3.81833924,12.6246168
-1.452424527,-1.41944623,-1.385798216,-1.44901979,0.032978297,0.066626311,0.003404738,2.270568741,4.587247744,0.234417519
-1.67521764,-1.645460963,-1.703147173,-1.775324464,0.029756677,0.027929533,0.100106824,1.776287212,1.667218175,5.975750344
-1.691202684,-1.630261183,-1.756136537,-1.548259735,0.060941501,0.064933853,0.142942949,3.603441608,3.839507425,8.452147706
-1.524839499,-1.611058354,-1.378193617,-1.834380388,0.086218855,0.146645882,0.309540889,5.654290528,9.61713559,20.29989972
-1.805883886,-1.849109292,-1.894690752,-1.740543365,0.043225406,0.088806866,0.06534052,2.393587229,4.917639874,3.618201646
